george (12:55:50 PM):  hello?
george (12:58:28 PM):  hi
rachael (12:58:40 PM):  hello
mara (12:58:51 PM):  hi, sorry i had the screen minimized
mara (12:59:08 PM):  only three again huh?
george (12:59:32 PM):  i think we're missing two
rachael (12:59:38 PM):  are you leading this, mara?
mara (12:59:59 PM):  no.. lol someone else can if they want, but if I have to I will I guess
george (1:00:22 PM):  what's a leader's responsibilities?
mara (1:00:33 PM):  to pose a topic... basically
george (1:01:37 PM):  did you do this yesterday?  on friday i remember the topic was supposed to be the economy
rachael (1:02:05 PM):  did anyone watch the morning talk shows today (MTP, for example)?
mara (1:02:13 PM):  yeah we talked about pop culture and go a little into music
mara (1:02:21 PM):  nope!
mara (1:02:27 PM):  what did they discuss rachael
mara (1:02:32 PM):  ?
george (1:02:33 PM):  i don't have cable :(
mara (1:03:04 PM):  :P i did have it for the past three summers, but I do now
rachael (1:03:21 PM):  I missed them - I was hoping someone else had.  My kids did tell me the banc you';re going to hear (dc for cutie) is great.
rachael (1:03:38 PM):  *band
mara (1:03:42 PM):  oh cool!
mara (1:04:00 PM):  im getting excited.. yeah george im going to NC to see death cab for cutie
mara (1:04:11 PM):  they are an indie rock band... don't know much about them right now
george (1:04:23 PM):  i've never heard of them :P
rachael (1:04:41 PM):  So I'll broaden my horizons and listen.
mara (1:04:46 PM):  i didnt either till last week for the first time
mara (1:04:59 PM):  YAY! I've been going on youtube.com to listen to them
mara (1:05:05 PM):  so far so good...
mara (1:05:15 PM):  their lyrics are nice, i think
mara (1:05:27 PM):  what kind of music do you guys listen to?
mara (1:05:31 PM):  hey vincent!
vincent (1:05:36 PM):  Hey guys, sorry I'm late.. again!
rachael (1:05:44 PM):  They're actually understandable?
george (1:05:55 PM):  hello vincent
vincent (1:05:57 PM):  This one cafe I've been depending on has very tricky wifi
rachael (1:06:10 PM):  hello vincent
george (1:06:26 PM):  i don't really have a favorite genre...you on youtube right now?
mara (1:06:30 PM):  yeah SUNY campus is the same way, i can never figure out how to get on haha
mara (1:06:47 PM):  no but if you paste a link ill check out whatever
vincent (1:06:51 PM):  So, I can see you guys are already talking about stuff... but I was asked to "lead" today...
mara (1:06:57 PM):  does anyone watch American Idol?
rachael (1:07:23 PM):  vincent, we were just chatting.  Lead on!
vincent (1:07:23 PM):  I haven't had a television (that gets tv stations) in lots of years.
mara (1:07:49 PM):  vincent, we were just discussing music because yesterday I told them I was going to a concert in NC for Death Cab for Cutie... nothing too important if you got stuff to say
mara (1:08:04 PM):  yeah george either! haha : P
