shelly (11:25:37 AM):  Howdy, howdy.
mara (11:26:09 AM):  hi shelly
mara (11:26:23 AM):  hows it goin?
shelly (11:26:42 AM):  Pretty good. Any idea who's leading the discussion today or what the topic is?
mara (11:27:06 AM):  nope! i dont even know who is suppose to be here
mara (11:27:07 AM):  ha
shelly (11:27:44 AM):  Got it. How did your discussion lead go?
mara (11:27:55 AM):  it was fine
mara (11:28:09 AM):  there were only three people here, including me! so it wasnt too hard
shelly (11:28:10 AM):  What did you talk about?
shelly (11:28:17 AM):  Hey vincent.
mara (11:28:21 AM):  pop culture and movies and stuff
vincent (11:28:22 AM):  good morning
shelly (11:28:30 AM):  Cool.
shelly (11:28:42 AM):  You running the show today vincent?
vincent (11:28:57 AM):  not that I know of.
mara (11:28:59 AM):  morning!
shelly (11:29:11 AM):  LOL. But you could be wrong, eh?
vincent (11:29:36 AM):  could be, but I didn't get any email about it.  I am confused, though, it's only 8:30am out here.
shelly (11:29:49 AM):  Wow, crack o'
shelly (11:29:53 AM):  dawn.
vincent (11:30:25 AM):  but I'm back home in seattle, so the internet works in my bed!
mara (11:30:38 AM):  thats amazing
mara (11:30:58 AM):  i have to use one the school computers cuz this program doesnt work on the MAC computer that I have
vincent (11:31:08 AM):  ouch.
mara (11:31:33 AM):  yeah but it was pretty nice of them to loan me a laptop! ha
vincent (11:31:45 AM):  that's very cool.
mara (11:31:49 AM):  hi ariel... you leading?
vincent (11:32:04 AM):  hey ariel.
vincent (11:33:06 AM):  hm, so no one asked any of us?
vincent (11:33:23 AM):  there's always more people signed up than actually show up.
mara (11:33:28 AM):  nope maybe its time that someone just poses a topic
mara (11:33:49 AM):  yeah and i have to leave early i have a meeting at 1pm
vincent (11:34:08 AM):  ah.
vincent (11:34:33 AM):  do you guys have an Albany Craigslist?
mara (11:34:47 AM):  yes sir! love it!
vincent (11:35:21 AM):  awesome.  I just took a trip from Seattle to Oakland to visit my girlfriend... I used the rideshare, and got down there and back (14 hour drive), for $20!!
mara (11:36:52 AM):  wow thats nice
mara (11:37:05 AM):  im going to NC soon, remember? and I think its like a 12 hour drive
vincent (11:37:20 AM):  super lucky.  I've used it a bunch before, but this was the luckiest one.
vincent (11:37:26 AM):  yeah, are you driving to NC?
mara (11:37:41 AM):  yup
vincent (11:38:25 AM):  you should try to find some riders on there, it would make gas super cheap, and it makes the drive pretty interesting.
mara (11:39:11 AM):  well i have one girl coming with me and im afraid since we are staying for a week there may no be a lot of room haha
vincent (11:39:30 AM):  that makes sense.
mara (11:39:49 AM):  theres this website where they predict your gas prices and i used it and they said around $60 to get there
vincent (11:40:14 AM):  that's not too crazy.
vincent (11:40:50 AM):  my trip down ended up being free, the guy just wanted company.  it was with a Christian video game programmer, and a juggler from the circus.
mara (11:40:56 AM):  not if we split it i guess
mara (11:41:44 AM):  OMG that must have been interesting! haha
vincent (11:42:31 AM):  yeah!  then the trip back up was with a spanish teacher, a piano player, an architect, and a couple anarchist hitchhiker girls.
mara (11:42:49 AM):  what type of things did you talk about
