george (8:07:59 PM):  <--
michelle (8:22:02 PM):  hi, there
meg (8:22:12 PM):  hello
michelle (8:22:17 PM):  hi meg
meg (8:22:17 PM):  do we have a topic for tonight?
meg (8:22:32 PM):  hi michelle
michelle (8:22:32 PM):  not sure
george (8:22:40 PM):  <i>Hello</i>
michelle (8:22:45 PM):  who is leading tonight?
michelle (8:22:49 PM):  Hi george
meg (8:22:53 PM):  hi george
meg (8:23:20 PM):  hi mara
mara (8:23:22 PM):  everyones gettin here early now?
mara (8:23:32 PM):  HEY!
george (8:23:39 PM):  hihi
meg (8:23:50 PM):  we were just all saying hi to each other
michelle (8:23:53 PM):  Hi mara
mara (8:23:53 PM):  hows goes it?
meg (8:23:56 PM):  didn't want you to be left out lol
mara (8:24:08 PM):  hi michelle and george...
meg (8:24:11 PM):  good, loong day for a monday
mara (8:24:21 PM):  lol i couldnt see the convo... so i wouldnt feel left out
meg (8:24:34 PM):  that's alright
mara (8:24:34 PM):  arent all mondays long.. and blah!
meg (8:24:53 PM):  yeah, but it was worse today... cloudy and cold and its supposed to be spring!
mara (8:25:10 PM):  it snowed here
michelle (8:25:14 PM):  spring break is coming
mara (8:25:19 PM):  just for like 2 mins... but i witnessed it!
meg (8:25:29 PM):  that's really lame... i know!
meg (8:25:39 PM):  one week of classes... and then party time.
meg (8:25:40 PM):  hahaha
michelle (8:26:01 PM):  Hi amy
amy (8:26:14 PM):  Hi there everyone
amy (8:26:17 PM):  :)
george (8:26:18 PM):  cant' wait for warm weather and bbqs
meg (8:26:21 PM):  Hi:)
mara (8:26:32 PM):  whooooo there is a michelle and a amy!? i never noticed this
mara (8:26:34 PM):  lol
meg (8:26:34 PM):  amen!
george (8:26:40 PM):  you going somewhere, meg?
meg (8:26:45 PM):  i'm just ready for some time off school
michelle (8:26:46 PM):  :-)
amy (8:26:48 PM):  first time we are in the room together
mara (8:26:49 PM):  thats right george, i remember that about you
george (8:26:56 PM):  amy x2
george (8:27:02 PM):  hi
meg (8:27:03 PM):  actually yeah, i'm going to california for 6 weeks
vincent (8:27:21 PM):  hey guys.
amy (8:27:29 PM):  usually amyx50  lol
meg (8:27:29 PM):  hi
michelle (8:27:35 PM):  6 weeks?
george (8:27:35 PM):  amy-ergy
mara (8:27:39 PM):  hi vincent!
michelle (8:27:40 PM):  in the summer?
michelle (8:27:43 PM):  Hi vincent
meg (8:27:45 PM):  yeah, i got into a summer program at berkeley
meg (8:27:47 PM):  !
meg (8:27:48 PM):  :D
