michael (8:18:15 PM):  Hello
michael (8:19:32 PM):  Too bad the software isn't IRC based.  Could just use the /topic command to always have a reminder at the top.
michael (8:19:56 PM):  Hi amy.
amy (8:20:09 PM):  Hello!
amy (8:21:08 PM):  i was just trying to read the articles sent to us
michelle (8:21:42 PM):  hi
michael (8:22:01 PM):  Yeah, I was browsing through the links too.
michael (8:22:06 PM):  Hi michelle.
george (8:22:12 PM):  hello
michael (8:23:18 PM):  We're one person more than Sunday at least. ^^
amy (8:24:20 PM):  i think that was the night i completely forgout about the session   : (
michael (8:24:46 PM):  Oh, I thought it was you, me, and george then.
michael (8:25:01 PM):  Sunday night anyway, there was a Sunday morning too that time, I think.
michael (8:25:43 PM):  Oh, well, we filled up the time that time OK.
michael (8:25:51 PM):  Anyone have any initial thoughts?
michael (8:26:19 PM):  I was thinking the big oil prices had almost as big an effect on auto-makers as the recession....
michael (8:27:10 PM):  they were concentrating on SUVs and trucks, but those suddenly became bad sellers.
amy (8:27:37 PM):  have you seen big changes in prices of any cars, suvs, etc?
michelle (8:27:55 PM):  agree. without recession, they are still going to face tough time. recession just makes it worse
amy (8:27:55 PM):  i didnt notice anything coming down but maybe i didnt notice
george (8:28:31 PM):  unions made it hard to run their businesses too
michael (8:28:32 PM):  Hmm, my family has always bought used, didn't notice much change there, ha.
michael (8:29:48 PM):  One of the wiki articles mentioned cases were small cars were sold at a loss...
michael (8:30:07 PM):  The auto makers were hoping the customer would then stick with the brand for their next upgrade or something.
meg (8:30:10 PM):  Hi everyone
michelle (8:30:20 PM):  hi
amy (8:30:26 PM):  hello meg  : )
michael (8:30:27 PM):  The profity margins on the trucks and SUVs sounded like they could be cut to lower prices, though.
michael (8:30:30 PM):  Hi meg.
george (8:30:35 PM):  hi2u
meg (8:30:52 PM):  :) Sorry I'm a little late
meg (8:31:02 PM):  I was reading and lost track of time
meg (8:31:10 PM):  So we're talking about cars huh?
amy (8:31:15 PM):  the prices of cars seem so high and i dont believe factory workers get paid very much....who is making the $   the people running the business
michael (8:31:24 PM):  That's good, you'll have more to say. ^^
meg (8:31:40 PM):  hopefully!
meg (8:32:27 PM):  I dunno, I think it was interesting that Obama is giving directives to Chevy
michael (8:32:48 PM):  There are a lot less people running the business, though.
george (8:33:05 PM):  that is possible...obama seems to take it upon himself and the govt to "fix" things
meg (8:33:10 PM):  Did you guys hear about Chrysler?
george (8:33:27 PM):  yup chapter 11
amy (8:33:33 PM):  yeah
meg (8:33:39 PM):  I watched part of his address last night and GM is up next on June 11th?
meg (8:33:57 PM):  No strike that its june 1st
meg (8:34:22 PM):  They have to do some sort of restructuring plan
amy (8:34:34 PM):  many businesses go out though- i have sympathy for all the people working there- but isnt time to re-evaluate how to run a business?
meg (8:34:56 PM):  Its time for a lot of things with our economy ahhaha
george (8:35:08 PM):  yes
amy (8:35:10 PM):  agreed
meg (8:35:13 PM):  I want to buy a new car because mine is getting up there in milage
george (8:35:18 PM):  and obama needs to put away our country's credit card!  :(
meg (8:35:24 PM):  I'm really not sure what type to pick
michael (8:35:27 PM):  Bankruptcy is bad for the unions and thus workers, though. Deals get renegotiated.
amy (8:35:27 PM):  i think it has a lot to do with greed overall
meg (8:35:38 PM):  Hahaha credit card debt ruuns bills
amy (8:35:58 PM):  meg i bought a chevy malibu and i love it
meg (8:36:01 PM):  I am trying to pay it down but being is college is a lot more expensive than a lot of stuff
meg (8:36:07 PM):  Yeah we talked about this before
george (8:36:09 PM):  unions demanded too much from the companies tho, that was a big drag on the business
amy (8:36:11 PM):  not sure if you want chevy now though  lol  this was a year and a ahalf ago i bought it
michael (8:36:11 PM):  Hehe, I remember him mentioning on TV once that he didn't come into office wanting to spend so much.
michael (8:36:24 PM):  I guess he thinks it is the right thing to do to pull us out, though.
meg (8:36:24 PM):  I'm worried about buying a GM with the new problems
george (8:36:38 PM):  i'd go with hyundai :o
amy (8:36:39 PM):  i would be too
meg (8:36:51 PM):  I'm thinking about volkswagon
meg (8:36:56 PM):  I want a BEETLE:D
george (8:37:12 PM):  obama is not any different from other politicians...he lied to get into office
meg (8:37:15 PM):  Hahaha that way I know violence is ensuing while I drive past people playing punch bug!
michelle (8:37:21 PM):  wow, you guys type really fast. i can not follow it
meg (8:37:31 PM):  I dont honestly think that he's as bad as our last prez though
