nick (7:59:30 PM):  hello
nick (7:59:56 PM):  the secret is to re-size the window! :)
george (8:05:29 PM):  hi
nick (8:05:56 PM):  just making sure i can get in this time
jordan (8:06:11 PM):  Hi, everyone!
george (8:06:30 PM):  hihi
john (8:06:58 PM):  Good evening
jordan (8:07:28 PM):  noticed the topic for this evening?virtual world.
george (8:07:43 PM):  yup sounds like a good one
nick (8:08:20 PM):  I was just playing a game on Facebook :)
jordan (8:10:19 PM):  and it's what we're playing with now.
george (8:10:29 PM):  anybody watch paqiao vs hatton?
jordan (8:10:47 PM):  what's that?
george (8:11:02 PM):  boxing
nick (8:11:30 PM):  nope
jordan (8:11:36 PM):  oh, I hate that. no sports
george (8:11:42 PM):  couldn't find video of it :(  looks like they are cracking down on that kind of stuff now
george (8:11:59 PM):  hard to find music videos nowadays too
jordan (8:12:11 PM):  can't imagine people delight in watching other people fight to each other to death.
george (8:12:29 PM):  it's glorious!
nick (8:12:38 PM):  yeah, sports events are probably very copyrighted
jordan (8:12:46 PM):  really? u mean boxing?
george (8:13:06 PM):  you can't imagine yourself ko'ing a lady and then having your hand raised in sweet victory, jordan?  :P
jordan (8:14:58 PM):  ha!
nick (8:19:28 PM):  so is michelle leading the discussion?
mara (8:19:34 PM):  hi all
amy (8:19:42 PM):  Hello
john (8:19:59 PM):  hi everyone
michelle (8:20:00 PM):  Hi there
jordan (8:20:09 PM):  Hello amy, great to meet u again.
mara (8:20:16 PM):  amy... last night after i signed off i couldnt get back on!  who got the job?
george (8:20:16 PM):  hihi
amy (8:20:39 PM):  ohhhh   susie got it by a landslide!  RIght jordan and john?
amy (8:20:54 PM):  sorry you missed out mara
john (8:21:00 PM):  right
mara (8:21:02 PM):  YAY! that's who I was cheering for!  Two for two haha
mara (8:21:10 PM):  nah its all good
jordan (8:21:26 PM):  This Susie should have learned that.
john (8:21:37 PM):  that's great
mara (8:21:52 PM):  michelle?
michelle (8:22:18 PM):  Hi mara
amy (8:22:26 PM):  hi george, michelle, and nick-  you in here?
michelle (8:22:30 PM):  Wanna start today's topic?
nick (8:22:36 PM):  yes
george (8:22:38 PM):  i am here hello
michelle (8:22:49 PM):  Got a chance to read the materials moderator sent out tonight?
nick (8:23:04 PM):  i did yes
amy (8:23:06 PM):  we had techn problems last night, so just checking that we have everyone that is in blue
michelle (8:23:06 PM):  Those are very interesting materials.
mara (8:23:08 PM):  yup
amy (8:23:14 PM):  yes, me too
nick (8:23:31 PM):  yes, I disocvered the secret - resizing the window!
nick (8:23:33 PM):  :)
michelle (8:23:35 PM):  Has anybody used second life before? I assume most of us used skype, am I right?
mara (8:23:36 PM):  i agree
mara (8:23:52 PM):  i really enjoyed the women who filed for divorce because of internet infidelity
amy (8:23:53 PM):  no, i have not used either
mara (8:24:01 PM):  i never use either..
nick (8:24:14 PM):  i have poked around in Second Life and find it kinda pointless
mara (8:24:15 PM):  but i know people who use skype weekly
michelle (8:24:15 PM):  what do you mean, nick, resize it to a smaller size?
amy (8:24:23 PM):  that was crazy- i mean the stuff that is happening
george (8:24:25 PM):  i know what skype is, but never used it...i have used ventrilo tho
john (8:24:27 PM):  maybe i think we have start the topic alittit bit last night
amy (8:24:35 PM):  is skype like a webcam?
jordan (8:24:55 PM):  I use skype almost every day.
amy (8:24:59 PM):  you are right john- we did start it a little
michelle (8:25:08 PM):  skype is like msn, call, chat...
nick (8:25:08 PM):  the problem i was having was just seeing a blank grey screen with no chat widnow - but it turns out i needed to click the "maximize" button to see it
nick (8:25:15 PM):  this was not obvious at all :)
john (8:25:17 PM):  I never use it
mara (8:25:23 PM):  my friends that studied abroad use skype to keep in touch with the people they met there
jordan (8:25:24 PM):  the world appears so small.
mara (8:25:44 PM):  ugh me too nick... glad i know that now haha
amy (8:25:54 PM):  so skype is used for people who want to communicate but also want to see each other??
mara (8:26:01 PM):  global communication
jordan (8:26:05 PM):  you hear, see and even feel each other with skype
nick (8:26:26 PM):  i have not used skype either, but i know it is popular
jordan (8:26:31 PM):  are we advertise skype?
michelle (8:26:42 PM):  I think a lot issues surrounding the virtual world, like trust, socialzing, how technology can support the way people communicate in a real way
george (8:26:45 PM):  i have a lot of friends that use itouch
john (8:26:54 PM):  i know a little bit
mara (8:27:02 PM):  feel?
nick (8:27:17 PM):  tactile chat LOL
george (8:27:19 PM):  one of them pretends to be a lesbian and gets nude photos from girls all over the country...i bet some of them are guys pretending to be lesbians too
jordan (8:27:20 PM):  what about using internet for shopping?
michelle (8:27:24 PM):  What do you think about the virtual world? ANy pros and cons?
mara (8:27:25 PM):  lol
jordan (8:27:48 PM):  mara wants to know how we feel by skype?
mara (8:27:50 PM):  or guys trying to pick lesbians up... ugh-oh :P
nick (8:28:08 PM):  like i said, i think Second Life is pointless - it seems like a fad that will die out
mara (8:28:11 PM):  yeah feel through skype? what?
michelle (8:28:11 PM):  internet for shopping can be in virtual world too......? maybe? any confirmation?
jordan (8:28:19 PM):  not only that mara
amy (8:28:27 PM):  yeah i wondered the same thing-  i figured it was a joke
george (8:28:34 PM):  hehe
jordan (8:28:51 PM):  what? what's a joke?
amy (8:29:00 PM):  yeah- shopping is a virtual thing too-  people might be buying more online thatn they ever would in person
jordan (8:29:03 PM):  im a bit confused by so many voices.
mara (8:29:10 PM):  nick... i think that you might be right but some people need emotional attachments like that site allows for ya know?
michelle (8:29:10 PM):  nick, I just joined a seminar in second life... it seems that a lot of researchers in cs, ece, social science are either using second life as a tool to do research or teaching
amy (8:29:10 PM):  see, hear, and feel thorugh skype??
george (8:29:27 PM):  hey that can be a new business...selling force feedback devices for internet communication
jordan (8:29:30 PM):  waaaa. I can't follow
mara (8:29:42 PM):  yeah i get the see and hear part but WTH... how do you feel?
george (8:29:45 PM):  communicate intimacy with force feedback!
john (8:30:12 PM):  i like do shopping online
george (8:30:18 PM):  what do you feel through skype?
jordan (8:30:27 PM):  a future thing. likely to come very soon. I mean "feel"
mara (8:30:31 PM):  yes... please someone lol
amy (8:30:41 PM):  and i think smell is on the way also
mara (8:30:46 PM):  i still dont get it..
jordan (8:30:52 PM):  sure.
mara (8:30:52 PM):  what?
mara (8:30:53 PM):  haha
nick (8:30:57 PM):  michelle - yes, but do regular users really want to use Second Life for anything serious?
george (8:31:16 PM):  maybe you put on a special shirt so i can "touch" your shoulder through the internet
mara (8:31:23 PM):  this is crazy talk.. its technology not like pleasentville where we can go through the computer and stuff
jordan (8:31:23 PM):  People 50 years ago could not imagine us seeing each other from a distance.
michelle (8:31:28 PM):  I personally did not use it before.
nick (8:31:47 PM):  george, you are an agent of chaos
amy (8:31:59 PM):  so do you guys think these new activities are good for us or bad or indifferent??
michelle (8:32:01 PM):  nick, many of my colleagues in other universities are considering to teach fully online course using second life
mara (8:32:02 PM):  im guessing yes nick, because how could it be grounds for divorce otherwise...?
george (8:32:13 PM):  that's why we gotta start a business mara selling these tactile devices!
mara (8:32:16 PM):  something that starts on the internet can lead to face-to-face contact ya know?
michelle (8:32:21 PM):  I agree, george,,,,,,,,:-)
mara (8:32:32 PM):  WEIRD haha george
john (8:32:41 PM):  yes
nick (8:32:43 PM):  That article about the divorce was sad ...
jordan (8:32:45 PM):  we are told the internet draws people close together, but I think otherwise.
amy (8:33:09 PM):  i somewhat agree jordan...
mara (8:33:20 PM):  amy.. i think they are both good and bad, but its going to be different for each person and how they use it to be clear on that answer
amy (8:33:28 PM):  doesnt spending so much time online take real life time away from families?
jordan (8:33:33 PM):  with internet, people are becoming too lazy to come to yoiur house to see u.
nick (8:33:33 PM):  This was the saddest part: "Online, Laura Skye works as a club DJ and is 6 feet tall, weighs 112 lb. and has a penchant for skin-tight cowgirl outfits. In reality, Taylor, an unemployed former waitress, is 5 feet 4 inches tall, weighs 224 lb. and prefers T shirts and leggings. "
john (8:33:34 PM):  draw people close in virtul world
michelle (8:33:36 PM):  DO you think the divorce thing from the article is generalizable to others? I don't think so...
amy (8:33:40 PM):  true mara
george (8:34:02 PM):  "oh i had a tough day at work"  "put on that tactile shirt from george-mara-michelle company!"  "ok" *massage* "ahhh"
michelle (8:34:06 PM):  amy, I agree with you.
john (8:34:09 PM):  turu michelle
mara (8:34:11 PM):  im doing research right now on infidelity and i have come across a lot of articles about internet infidelity so that article was very interesting to me
amy (8:34:15 PM):  i think that there are many marital problems because of online activities
amy (8:34:42 PM):  what have you learned mara-  anything you want to share?
nick (8:34:42 PM):  only some personalities are so attracted to online relationships
mara (8:34:57 PM):  lol george
jordan (8:34:58 PM):  you mean extra-marrital because of the use of internet?
michelle (8:35:09 PM):  mara, share something with us, please...?
george (8:35:16 PM):  if they never meet in real life, can you consider internet flirting to be infidelity?
john (8:35:17 PM):  yes, even for doing research
mara (8:35:18 PM):  well mainly that they are still trying to figure out what counts as internet infidelity
amy (8:35:39 PM):  no extramarital necessarily0  just taking time away from being with each other like going outside or something
george (8:35:54 PM):  that's almost like getting mad at a guy for reading playboy
michelle (8:35:56 PM):  Can we say they trust Internet very much so they choose their spose from Internet?
jordan (8:35:57 PM):  internet flirting can lead to face-to-face rendesvouz.
mara (8:36:03 PM):  they have been also comparing genders... trying to put women in the usual emotional category and men in the sexual, but they have failed over and over again to claim that
amy (8:36:07 PM):  well what is infiedlity -  to back up a bit   mara
george (8:36:13 PM):  the guy doesn't even know if the other side is a real woman on the internet!!!
amy (8:36:31 PM):  lol  george  so true
john (8:36:34 PM):  i agree with michelle
michelle (8:36:47 PM):  george, I think virtual world is different here. You can SEE and FEEL and it can be live
jordan (8:36:47 PM):  well, with skype, you see each other. george
mara (8:36:52 PM):  also, they have found that almost all internet relationships have lead to face-to-face contact and something more serious which leads their intimate partners to want divorce or to break up..
george (8:37:10 PM):  oh ok like webcam stuff
nick (8:37:15 PM):  almos all? really?
mara (8:37:17 PM):  indidelity is a violation of relationship norms or rules
john (8:37:28 PM):  i think you can do every thing through internet
amy (8:37:32 PM):  Doesnt spending so much time online mean that there is a reason why you dont want to be with your spouse instead?
jordan (8:37:42 PM):  anyway, if one wants a divorce, he can find ways. How can we blame internet
mara (8:37:57 PM):  they say 84% in three articles
amy (8:38:05 PM):  gotcha mara-  so it might be emotional stuff why the spouse chooses the internet  over the spouse
michelle (8:38:11 PM):  jordan, good point.
john (8:38:21 PM):  hha
mara (8:38:21 PM):  right
amy (8:38:31 PM):  internet is sooooo easy though
amy (8:38:36 PM):  its an escape from reality
mara (8:38:42 PM):  the internet isnt to blame... the behavior is to blame
amy (8:38:46 PM):  so not to deal with problems
michelle (8:38:47 PM):  but addictive to Internet might be different
nick (8:38:49 PM):  Personally, i think that a person who marries someone's avatar online already has relationship issues in the real world that they are avoiding through escapism
george (8:38:53 PM):  now we just have to figure out a way to get those internet cheating guys to wear our tactile mask so their wives can slap them through the internet!
jordan (8:39:00 PM):  right, mara
mara (8:39:03 PM):  and there is very few ways of hiding it anymore... like moderator said wheres the privacy?
amy (8:39:07 PM):  but the internet is at our fingertips whereas going outside to have an affair would take more planning
nick (8:39:16 PM):  *slaps george*
mara (8:39:21 PM):  aha nick
jordan (8:39:25 PM):  if addicted, one gets totally a slave
amy (8:39:56 PM):  yes nick
george (8:40:02 PM):  *cries*
george (8:40:14 PM):  oh wait, i have to put the mask on for that to work
jordan (8:40:19 PM):  privacy seems obsolete now.
mara (8:40:23 PM):  right amy and some people are scared of that kind of commitment so they build it on the internet and it makes it easier to continue outside
john (8:40:33 PM):  private information
jordan (8:40:53 PM):  do u still have privacy?
michelle (8:41:03 PM):  maybe
amy (8:41:08 PM):  privacy for what?
jordan (8:41:11 PM):  you know man search?
mara (8:41:21 PM):  on websites like myspace and facebook you can change your privacy settings
jordan (8:41:25 PM):  personal privay
john (8:41:27 PM):  i mean we should protect our information
mara (8:41:30 PM):  so there is some loopholes,
jordan (8:41:48 PM):  other people can get all information about you if they want
amy (8:41:53 PM):  people dont seem to want privacy bc they "friend" people they dont even really know and then share all their stuff with them anyway
john (8:41:57 PM):  sure
mara (8:42:08 PM):  if you want them too jordan... but you can hide things from certain peopel
george (8:42:26 PM):  the only safe way of protecting your information on the internet is to never use your info on there in the first place
mara (8:42:34 PM):  right.. well thats just dumb haha i dont friend people i dont know
jordan (8:42:35 PM):  internet may betray
mara (8:42:50 PM):  and the whole app. "you may know these people because they know your friends" is crazy
amy (8:42:57 PM):  but you see these people with like 300 friends or more
george (8:43:02 PM):  if you want to do online shopping, make a small bank acct. that has a limited supply of money so that if your info is stolen, they don't cripple you
nick (8:43:08 PM):  i think that Facebook has a lot of potential to become an even bigger social networking portal - they are adding games you can play with your friends, and they are addicitive :)
amy (8:43:10 PM):  you know they arent really friends with all of them
john (8:43:15 PM):  everything has two aspect
michelle (8:43:26 PM):  nick, I agree
jordan (8:43:43 PM):  internet friends are iamginary things.
john (8:43:53 PM):  sure i like facebool
john (8:44:00 PM):  facebook
mara (8:44:01 PM):  how do you know that?  ive known a lot more than 300 people in my life and you can find people from like kindergarden on there now
michelle (8:44:05 PM):  SOmetimes I think age plays an important role here
jordan (8:44:28 PM):  you mean young peopel like it more?
