meg (8:13:24 PM):  Hi george
michael (8:13:33 PM):  Hello.
meg (8:13:45 PM):  How are you?
meg (8:14:40 PM):  Hi
george (8:15:02 PM):  hi
nick (8:15:06 PM):  hi
george (8:15:13 PM):  i gonna heat up instant ramen brb
nick (8:15:13 PM):  jinx!
michael (8:15:56 PM):  Can you get out of it by seeing a punch buggy?
meg (8:16:11 PM):  I think so!
meg (8:16:13 PM):  Hahaha
michael (8:17:07 PM):  {o^o) - there we go. It has wheels at least.
jordan (8:17:57 PM):  Hi, everyone.
meg (8:18:05 PM):  Hi
michael (8:18:08 PM):  Hello
amy (8:18:24 PM):  Hello room
jordan (8:18:37 PM):  You guys were not here last night?
michael (8:18:53 PM):  <br />room (8:30:11 PM) hello
michael (8:18:56 PM):  hmm, no fun
nick (8:18:59 PM):  i was
meg (8:19:02 PM):  I was supposed to be but I think I got food poisoning
michael (8:19:05 PM):  Ah, I wasn't, at least.
john (8:19:36 PM):  Hi, everyone
michael (8:19:52 PM):  Hi
amy (8:19:58 PM):  hello
jordan (8:20:25 PM):  food poisoning? that serious, meg?
meg (8:20:34 PM):  Yeah, or a 24 hr bug
meg (8:20:49 PM):  Bad stomach ache
meg (8:20:50 PM):  :(
jordan (8:20:50 PM):  r ur all right now?
michael (8:20:52 PM):  Hopefully you're not posting from a hospital bed...
jordan (8:21:03 PM):  sorry
meg (8:21:04 PM):  (Minus the other details)... I'm feeling better
amy (8:21:06 PM):  sorry to hear that meg
meg (8:21:09 PM):  Still kinda tired
meg (8:21:13 PM):  Its alright
meg (8:21:15 PM):  Thanks lol
amy (8:21:25 PM):  :)
meg (8:21:32 PM):  At least it wasn't swine flu
michael (8:22:11 PM):  I hear you can get anti-viral treatment for the flu if you go to the doctor first thing...
nick (8:22:46 PM):  So did everyone notice that there are new resumes today?
meg (8:22:49 PM):  Yep
michael (8:22:52 PM):  Hmm, time to start on the resume reviewing?
george (8:22:52 PM):  oh no!  what did you eat meg?
amy (8:22:56 PM):  i noticed, i noticed
nick (8:22:57 PM):  I thought we would be talking about the same ones from before...
michael (8:23:03 PM):  Yep, took a look.
amy (8:23:19 PM):  oh gosh- that would be boring to talk about the old ones
meg (8:23:21 PM):  I had some burritos (frozen ones) my room mate got
meg (8:23:27 PM):  But they were bad
nick (8:23:30 PM):  yes, i'm glad!
jordan (8:23:35 PM):  not the same position.
michael (8:23:39 PM):  That would be rough, felt like we covered those in detail.
amy (8:23:47 PM):  lol  this position is a little more interesting i found
jordan (8:23:48 PM):  different people.
meg (8:23:58 PM):  Yeah it looks good
george (8:24:12 PM):  :(
michael (8:24:17 PM):  The degrees seem more applicable in general.
amy (8:24:23 PM):  shall we go through one at a time or does someone have another suggestion
amy (8:24:27 PM):  ?
michael (8:24:29 PM):  I won't have to whine all night about people leaving as soon as they graduate.
john (8:24:30 PM):  why amy?
jordan (8:24:31 PM):  don't u think girls are better for this position? more considerate and careful.
nick (8:24:32 PM):  yes, better all around
michael (8:24:42 PM):  Sounds fine to me.
meg (8:24:45 PM):  I think that was a good way
george (8:24:45 PM):  grocery shopping, errands around house, companionship
amy (8:24:52 PM):  why what
nick (8:25:03 PM):  yes amy
amy (8:25:05 PM):  ok  so meg smith
michelle (8:25:17 PM):  I think girls are better
amy (8:25:43 PM):  hi michelle-  didt see ya there til now
michael (8:25:47 PM):  A Lit degree in progress must mean she likes reading at least.
nick (8:25:49 PM):  I have a question: the required age is 18, but are interviewers allowed to ask a candidate's age?
john (8:26:05 PM):  girls are better?
meg (8:26:15 PM):  Yeah they are allowed
jordan (8:26:19 PM):  don't u think so?
amy (8:26:20 PM):  good question- didnt think of that-  maybe they just base it one what year they are in college
meg (8:26:20 PM):  It's in the app
michelle (8:26:38 PM):  Hi amy, sorry I am late
michael (8:26:49 PM):  18 requirement is usually for legal purposes, isn't it? That isn't exactly age discrimination...
jordan (8:26:51 PM):  age doesn't make a different for this job i guess.
amy (8:27:00 PM):  she has a little volunteer experience going for her-  that was her only plus that i saw
john (8:27:03 PM):  sure nick it is not
nick (8:27:08 PM):  I thought asking age was against the law?
michael (8:27:15 PM):  All the resumes list some sort of college work, I assume everyone meets the age requirement anyway.
nick (8:27:23 PM):  OK
amy (8:27:30 PM):  yeah- i think their ages are fine
jordan (8:27:33 PM):  is it, nick?
michelle (8:27:34 PM):  nick, I agree
meg (8:28:01 PM):  I didn't think it was, you'd find out with the soc sec # either way
john (8:28:05 PM):  yes i think they can get the candidate's age by other way
michael (8:28:12 PM):  The McDonalds experience might teach you to be polite at least.
jordan (8:28:31 PM):  is age that important for this positin?
michelle (8:28:47 PM):  These candidates look fine, which one do we pick?
amy (8:28:47 PM):  i would definitely keep her on the list- wouldnt rule her out bc she does have good experience in working
nick (8:29:05 PM):  The job desciprtion says they msut be 18 - some college freshman are not
amy (8:29:12 PM):  we're going through the resumes one at a time, michelle   just to talk about them all
john (8:29:15 PM):  it is a good experence
michelle (8:29:18 PM):  amy, who is your pick?
michael (8:29:30 PM):  Ah, didn't realize freshmen could be that young.
meg (8:29:31 PM):  She's got good experience for the development center
michelle (8:29:33 PM):  where are we now
jordan (8:29:39 PM):  some are.
amy (8:29:47 PM):  didnt decide yet, michelle
jordan (8:29:48 PM):  age
michael (8:29:54 PM):  I like the volunteering...shows community involvement.
amy (8:30:02 PM):  first resume-  megan
john (8:30:02 PM):  so college freshman are not candidates?
michelle (8:30:07 PM):  thanks
nick (8:30:11 PM):  Megan's best qualifications are her volunteer experience
amy (8:30:14 PM):  frosh can be 18
george (8:30:19 PM):  what is MESA club?
amy (8:30:36 PM):  i agree nick-  that is what keeps her on deck in my mind opposed to saying No right away
meg (8:30:43 PM):  I'm not sure about MESA
michelle (8:30:52 PM):  I agree too
amy (8:31:01 PM):  mesa?  no clue
jordan (8:31:04 PM):  you mean Megan?
john (8:31:10 PM):  i think volunteer experience is important
nick (8:31:31 PM):  She is not my favorite, though
amy (8:31:44 PM):  ok  alex matthews is next
