meg (19:56:24 PM):  Hello:)
lynn (19:57:57 PM):  hi
melany (19:58:11 PM):  hi :)
caroline (19:58:53 PM):  hii
moderator (19:59:43 PM):  Hi all, this is moderator.
meg (19:59:53 PM):  Hi moderator
ted (19:59:58 PM):  hello all
lynn (19:59:58 PM):  hi moderator
melany (20:00:03 PM):  Hi moderator
moderator (20:00:10 PM):  Carla is supposed to lead today and we are also waiting for one more person, Vincent.
moderator (20:00:30 PM):  I request you to wait a few moments.
meg (20:00:45 PM):  Ok
melany (20:01:09 PM):  Ok
moderator (20:05:22 PM):  Hi all, I suppose you may begin now.
meg (20:05:30 PM):  Ok
moderator (20:05:30 PM):  Please make sure you reach a consensus at the end. :-)
melany (20:05:43 PM):  what is the topic? my link does not work.
lynn (20:05:50 PM):  it's about hallmark holidays
meg (20:05:57 PM):  It's whether or not hallmark holidays are good
melany (20:06:02 PM):  ok
moderator (20:06:04 PM):  link
melany (20:06:06 PM):  thanks!
meg (20:06:42 PM):  I really hate Valentine's day
meg (20:06:53 PM):  hahaha, my boyfriend really loves it though
melany (20:07:08 PM):  haha, i'm indifferent towards vday
melany (20:07:16 PM):  i find it to be very commercial
lynn (20:07:23 PM):  it is very commercial
melany (20:07:23 PM):  but i dont mind getting candy
caroline (20:07:26 PM):  i feel like that's unusual for the guy to be more into it than the girl haha
meg (20:07:28 PM):  I think its a little waste of time
melany (20:07:37 PM):  yeah and money
meg (20:07:40 PM):  Yeah, he loves the whole romantic thing
melany (20:07:49 PM):  we only celebrate it because hallmark tells us too
ted (20:07:49 PM):  i like them all. although i never heard about some of them. like christmas in july or boss' day
meg (20:08:01 PM):  I know boss's day
melany (20:08:02 PM):  yeah what is sweetest day?
caroline (20:08:11 PM):  i think it is very commercial as well but i think the concept in a less cliche, less commercialized way is appealing
lynn (20:08:11 PM):  i don't necessarily agree that we only celebrate v-day because hallmark tells us too
caroline (20:08:20 PM):  i have no idea what sweetest day is
caroline (20:08:32 PM):  i agree with lynn
