julie (20:00:04 PM):  heyy
leah (20:00:17 PM):  hi
leah (20:00:23 PM):  =)
vicky (20:00:28 PM):  Hi all
rick (20:00:42 PM):  Hey everyone
vicky (20:00:54 PM):  We waiting for anyone else?
moderator (20:00:55 PM):  Hi all, this is moderator. david is supposed to lead today.
moderator (20:01:05 PM):  I request you to wait a few moments.
macy (20:01:45 PM):  Hello...
vicky (20:02:02 PM):  Hi
julie (20:02:50 PM):  does anyone know what the topic is?
rick (20:03:07 PM):  Today's topic will be discuss the declining presence of males in the hard sciences and in professional schools like law and medicine. All fields except business, computer science and engineering are female domidavidd - are there any solutions to this problem? Or is this a problem facing the United States, regardless of gender of students.
leah (20:03:07 PM):  we are waiting for david
moderator (20:03:17 PM):  link
moderator (20:03:32 PM):  link
julie (20:03:40 PM):  thank you
julie (20:03:49 PM):  my link wasn't working
macy (20:03:57 PM):  i had no idea about this idea until reading these 2 articles
macy (20:04:45 PM):  still reading a bit
rick (20:05:01 PM):  same here
moderator (20:05:04 PM):  Hello again. I suppose you can begin now. Please make sure that you reach a consensus at the end.
moderator (20:05:07 PM):  :-)
leah (20:05:14 PM):  okay thanks moderator
julie (20:05:23 PM):  thanks
macy (20:06:01 PM):  so looks like the gender gap has narrowed where women are attending schools and earnging degrees moreso than men'
vicky (20:06:12 PM):  I would like to see the references for that
vicky (20:06:22 PM):  and the exact statistics
vicky (20:06:38 PM):  there is a slightly larger percentage of women in the population, so I would expect to see a slightly larger percentage in school/earning degrees'
vicky (20:06:47 PM):  without statistics I can't really accept that generalization, personally
leah (20:07:21 PM):  though there are more women than men we have to remember that men are the dominant ones in society
vicky (20:07:48 PM):  I wouldn't put it quite that way
macy (20:07:53 PM):  it is quite a generalzation, but i'm looking online and seems that there have been some studies done
vicky (20:08:01 PM):  can you send some links?
vicky (20:08:08 PM):  that's what I'm looking for myself
david (20:08:20 PM):  its not really a generalization, there is a huge amount of data supporting this
julie (20:08:24 PM):  also i believe that since women are so misrepresented that more opportunities are given to women to help with their education, such as grants and scholarships
macy (20:08:28 PM):  link
macy (20:09:02 PM):  david, none of this are familiar with the data and stats so we are currently trying to get up to speed and helping each other with this...
macy (20:09:14 PM):  none of us are familiar.....
david (20:09:43 PM):  link
rick (20:09:55 PM):  I agree with julie, I also believe that women want to prove themselves more in the workplace
julie (20:10:05 PM):  agreed
david (20:10:25 PM):  58 percent of all bachelors degrees to women, 62 percent for associates - and i think the difference is much more pronounced in graduate schools - written write in the above links, it's a reputable source
leah (20:10:31 PM):  yes but just because they want to prove themselves it doesn't mean that they aren't set back
david (20:10:39 PM):  right, but our task is to make recommendations as to possible solutions for the discrepancies
david (20:10:59 PM):  disparities is probably a better word
rick (20:11:31 PM):  The topic is more about the decline in men in X fields
vicky (20:11:32 PM):  57% of women over-all according to that LA times article
david (20:12:01 PM):  okay - so how do we remedy that situation
rick (20:12:08 PM):  incentives
macy (20:12:28 PM):  attract students to college and the professions at earlier ages- could be applied to both men and women i guess
david (20:13:17 PM):  the reason society should be concerned - and a way we can all relate to it - is that the U.S. will fall behind or maybe further behind, other advanced countries in education - leading to a weakened economy, and therefore a weakened military and status / influence
david (20:13:21 PM):  so - incentives
leah (20:13:47 PM):  in elementary school a teacher can bring in different professionals both men and women to show that they too can one day be successful by doing well in school and attending college
david (20:13:59 PM):  what about government programs and scolarships awarded to men?
rick (20:14:09 PM):  can there be incentives for men really? I don not believe that would make to many people happy
leah (20:14:18 PM):  i agree with rick
