macy (18:32:12 PM):  Hello everyone
lynn (18:32:18 PM):  hi
eva (18:32:19 PM):  hello
macy (18:32:32 PM):  are we expecting more than we have right now i wonder?
melany (18:32:32 PM):  helloooo all
meg (18:32:38 PM):  hi
lynn (18:32:49 PM):  i think so
moderator2 (18:32:52 PM):  link
meg (18:32:55 PM):  Sorry, it took me a while to connect
moderator2 (18:33:02 PM):  link
macy (18:33:08 PM):  me too- couldnt find the spark program on my computer - now i know!
irene (18:33:33 PM):  hello
macy (18:33:49 PM):  hi irene
eva (18:34:27 PM):  who starts the conversation?
macy (18:34:44 PM):  well i am the leader for today.... so has everyone checked out the link for the topic?
melany (18:34:57 PM):  yupp
lynn (18:35:12 PM):  yes
eva (18:35:14 PM):  i have it up
macy (18:35:20 PM):  we'll need to figure out which city out of the select would be best in hosting a USA summer olympics
lynn (18:35:45 PM):  right, out of 4 cities
irene (18:35:49 PM):  yeah
melany (18:35:49 PM):  does anyone have any initial feeling towards which city it should be?
irene (18:35:58 PM):  i picked chicago but i'm open to suggestions
irene (18:36:08 PM):  all of them hosted the olympics except chicago
meg (18:36:11 PM):  I really liked st. louis
irene (18:36:12 PM):  and it didn't seem too bad
eva (18:36:20 PM):  *still thinking*
lynn (18:36:26 PM):  wasn't chicago the one where only 70% of peoplke supported having it there
macy (18:36:27 PM):  i didnt have a preference, but reading through looked like some may have traffic issues
lynn (18:36:29 PM):  the locals, i mean
melany (18:36:30 PM):  i picked chicago
macy (18:36:47 PM):  chicago was in the running for what olymics recently?
meg (18:36:59 PM):  winter olympics I think
macy (18:37:09 PM):  oh
irene (18:37:11 PM):  really? i didn't know
melany (18:37:12 PM):  i liked the village they proposed to build for it
meg (18:37:14 PM):  why don't we go through each city and weigh the pros and cons
irene (18:37:18 PM):  well they didn't win so might as well use it now
irene (18:37:25 PM):  good idea meg
melany (18:37:27 PM):  good idea meg
macy (18:37:27 PM):  well we could start by looking at the criteria posted and just eliminate based on that
meg (18:37:40 PM):  Yeah
macy (18:37:46 PM):  ok let's start with climate- an easy one
eva (18:37:55 PM):  well there's one factor not considered
lynn (18:37:55 PM):  they all look about the same in climate
meg (18:37:57 PM):  we could go in order of city? or by what they offer
meg (18:37:59 PM):  yes?
melany (18:38:07 PM):  yes
macy (18:38:09 PM):  climate looks same, yes
melany (18:38:09 PM):  order of city
eva (18:38:16 PM):  it doesn't include how much tourists WANT to go to a particular city
eva (18:38:27 PM):  there's no point in having the money if not a lot of people wnat to go there
irene (18:38:45 PM):  that's true eva
macy (18:38:51 PM):  all the cities are larger ones so all seem mediocre choices
meg (18:39:02 PM):  but there's a lot to be offered by each city though
melany (18:39:06 PM):  i agree
eva (18:39:15 PM):  i guess what i'm wondering is
macy (18:39:15 PM):  ok lets start with the first one st. louis
meg (18:39:39 PM):  It's a nice city
melany (18:39:51 PM):  they hosted the 1994 olympics
melany (18:39:58 PM):  so i guess they know how to handle them?
eva (18:39:59 PM):  i don't know much about st. louis
meg (18:39:59 PM):  honestly, I drove through it a bit this summer, but the only problem was the fact that i64 wasn't done with its construction
lynn (18:40:09 PM):  1904, wasn't it?
lynn (18:40:14 PM):  that was a long time ago
macy (18:40:16 PM):  good point- construction
melany (18:40:20 PM):  oh right!
meg (18:40:23 PM):  it's right next to the mississippi though
macy (18:40:29 PM):  and this is for '11
eva (18:40:32 PM):  will it be done in 2011?
meg (18:40:38 PM):  and it has some good attractions
melany (18:41:06 PM):  and an olympic village
irene (18:41:11 PM):  well are we more concerned with impressing tourists or just the quality of the area itself
meg (18:41:15 PM):  should be completely rebuilt by 2009
melany (18:41:17 PM):  91 percent want them to host it
lynn (18:41:27 PM):  what iwas wondering was that the city had money *pledged* to the event, but if the facilities aren't built yet, that will take time
macy (18:41:34 PM):  keeps it in the running then- but we'll keep in mind construction (but we dont know when its scheduled to end so it could be before '11?)
eva (18:41:35 PM):  well think back to the beijing olympics
eva (18:41:40 PM):  they put a lot of money into it
eva (18:41:45 PM):  but there was still a lot of issues
eva (18:41:47 PM):  for the visitors
lynn (18:41:53 PM):  but they also were very nearly not finished in time
meg (18:41:59 PM):  the construction is scheduled to end by dec 2009
melany (18:42:06 PM):  so they have time
eva (18:42:07 PM):  it's 2010 now
meg (18:42:16 PM):  yeah idk if it finished or not
macy (18:42:17 PM):  so its supposedly done
lynn (18:42:18 PM):  construction on the olympic facilities?
meg (18:42:26 PM):  no on the i64 highway
lynn (18:42:26 PM):  or roads?
macy (18:42:27 PM):  no, the highway 64
meg (18:42:33 PM):  its one of the main roads
eva (18:42:34 PM):  but what about facilities?
meg (18:42:46 PM):  doesn't say
eva (18:42:48 PM):  how long does it take?
irene (18:42:53 PM):  i'd assume we want whichever has the best facilities
lynn (18:42:54 PM):  yes, i was asking about facilities. money is pledged to it, but if they haven't started building facilities, that could be an issue
irene (18:42:56 PM):  rather than the tourist areas
meg (18:42:56 PM):  prob about a year
irene (18:43:01 PM):  although the tourist areas shouldn't be TERRIBLE
eva (18:43:18 PM):  well it's more like
eva (18:43:22 PM):  can it handle the traffic?
macy (18:43:23 PM):  if this is hypothetical as the post states, then none of them will have facilities ready
eva (18:43:24 PM):  enough hotels?
macy (18:43:32 PM):  so we might want to consider other issues?
melany (18:43:39 PM):  i agree mavy
melany (18:43:42 PM):  macy*
lynn (18:43:43 PM):  but la hosted a previous olympics recently, ,so they woudl have facilities ready
melany (18:43:49 PM):  thats true
macy (18:43:53 PM):  good point
irene (18:43:55 PM):  hotels is a good point...
irene (18:43:59 PM):  didn't think of that
eva (18:44:01 PM):  LA can feel unsafe tho
eva (18:44:04 PM):  it's really spread out
lynn (18:44:10 PM):  yes, i thought crime should be a criteria
meg (18:44:12 PM):  I don't think LA should host it again
melany (18:44:13 PM):  i didnt like LA
melany (18:44:15 PM):  when i was there
lynn (18:44:28 PM):  isn't traffic terrible in la? very little public transport, ,from what i heard
meg (18:44:29 PM):  I don't think it has the same tourist attractions as st louis and chicago
meg (18:44:36 PM):  traffic is AWFUL
macy (18:44:43 PM):  i heard negative things about LA also from tourists who were there
melany (18:44:44 PM):  yeah terrible
irene (18:44:47 PM):  you guys have traveled a lot
melany (18:44:48 PM):  i hated it
irene (18:44:54 PM):  i honestly don't know as much about the places other than what i read
eva (18:44:57 PM):  so...strike LA from the list?
melany (18:45:04 PM):  ive only been to LA haha
melany (18:45:07 PM):  i think so
meg (18:45:11 PM):  hahaha I went to CA this summer and drove there and back so I saw a lot of the country
eva (18:45:15 PM):  i used to live there
irene (18:45:19 PM):  In a independent survey, public opinion registered 77% of the Los Angeles residents in favor of hosting the event.
eva (18:45:19 PM):  in south central
irene (18:45:29 PM):  but i guess that's bias because people in los angeles don't represent everyone else
meg (18:45:35 PM):  that's the lowest public opinion
lynn (18:45:40 PM):  yes
lynn (18:45:45 PM):  that's not good
melany (18:45:51 PM):  true
meg (18:45:53 PM):  I'd vote no to LA
melany (18:45:57 PM):  me too
macy (18:46:04 PM):  me too- crowded already
macy (18:46:15 PM):  so they are off the list- ncie!
lynn (18:46:35 PM):  well, i'm inclined to say no to LA, but don't want to count it out yet, it's def down on the bottom of my list, though
meg (18:46:42 PM):  Oh I think St. Loius should stay on the list
macy (18:46:45 PM):  ok- kept in mind as we rank
irene (18:46:46 PM):  i agree with lynn
macy (18:46:55 PM):  what about atlanta- tehy've hosted before
irene (18:46:56 PM):  they've hosted olympics there already so it shoudn't be 100% no
irene (18:47:03 PM):  i odubt they'd bring it up again unless it was at least successful at one point
irene (18:47:08 PM):  most of them hosted before
irene (18:47:13 PM):  but i just don't think california should be a definite no
eva (18:47:18 PM):  hrmmm so chicago is the only one who hasnt
meg (18:47:34 PM):  I think it shouldn't be included because LA is too smoggy!
meg (18:47:40 PM):  bad health for the athletes!
eva (18:47:42 PM):  how do they nrmally pick cities?
lynn (18:47:50 PM):  yes, wasn't smog an issue in the previous olympics there?
macy (18:47:53 PM):  There are specific criteria set out by the selection commission, that factor into this decision, such as Climate; Transportation and ease of travel to and from and within the city, for the athletes and attendees; Accommodation for atheletes and attendees; Government support and public opinion; and Previous experience. You may also consider other factors such as Safety; Tourism potential; and Cultural Diversity.
meg (18:47:54 PM):  people in the olympic community vote for it
irene (18:48:03 PM):  i have no idea how they pick cities, i guess they discuss the pros and cons like we do
lynn (18:48:16 PM):  what about st. louis, i agree with meg
melany (18:48:34 PM):  i think chicago is a better area than st louis from "what ive heard"
macy (18:48:34 PM):  health is a great factor- bejiing had major issues
meg (18:48:39 PM):  Well, if we're talking about crime and traffic, atlanta has really bad crime for pedestrians
lynn (18:48:45 PM):  i like that they have an olympic oaks village already in place to house athletes
lynn (18:48:49 PM):  st. louis, i mean
meg (18:48:54 PM):  and they have one of the world's longest commutes
melany (18:48:57 PM):  i agree lynn
meg (18:49:01 PM):  st louis is nice too
meg (18:49:04 PM):  i agree
lynn (18:49:18 PM):  atlanta has one of the world's longest commutes, meg?
macy (18:49:19 PM):  i'm not liking atlanta for this readon so far: Around 2008 the Atlanta metro area has ranked at or near the top of the longest average commute times in the U.S. Also, the Atlanta metro area has ranked at or near the top for worst traffic in the country.[148]
meg (18:49:20 PM):  I think it'd be easy to cross off la and atlanta based on traffic issues
irene (18:49:31 PM):  well it might be different during hte olympics
melany (18:49:41 PM):  yes definetly
meg (18:49:49 PM):  yeah :-( I think it would be worse during the olympics
macy (18:49:50 PM):  worst traffic in country- is a strong statement
lynn (18:49:56 PM):  yes, it is
macy (18:49:59 PM):  yup
eva (18:50:05 PM):  what about ethnic diversity of residents??
melany (18:50:08 PM):  i read in a magazine LA was number one
melany (18:50:15 PM):  for bad traffic
macy (18:50:16 PM):  for what melany?
eva (18:50:16 PM):  if athletes are from all over the world, discrimination would be bad
macy (18:50:18 PM):  ah
lynn (18:50:28 PM):  but these are the US olympics, not international
eva (18:50:33 PM):  hrmmm
eva (18:50:36 PM):  my bad
macy (18:50:38 PM):  right- thanks for reminding us lynn
melany (18:50:46 PM):  ohhhh i didnt realize that either
eva (18:50:51 PM):  although...not all olympians are the same race right?
lynn (18:50:52 PM):  not that there's not diversity in US athletes...
meg (18:50:53 PM):  I didn't either
lynn (18:50:59 PM):  right, ,eva
irene (18:51:07 PM):  i'm not sure about hte diversity i didn't think of it being an issue
macy (18:51:12 PM):  bringing diverse people into a non-diverse area could be a good thing for that area
lynn (18:51:20 PM):  i have to admit, i didn't really consider that an issue, either
macy (18:51:29 PM):  for something so special like a national event that the whole ocuntry is watching
lynn (18:51:29 PM):  that's true
melany (18:51:38 PM):  yes true
meg (18:51:42 PM):  I think chicago seems nice- they have a transit system that seems really good
macy (18:51:43 PM):  yeah- i didnt see it asw an issue either honetsly
