melany (19:58:45 PM):  hey 8urrrrrrveryboy
melany (19:58:53 PM):  sorry that was my roommate
melany (19:58:55 PM):  hi everyone
david (19:59:05 PM):  hello
ariel (19:59:39 PM):  hey
cinthia (20:00:40 PM):  hey guys
moderator (20:01:16 PM):  Hi guys. Please wait a few moments. I believe a couple other people may show up.
ariel (20:02:32 PM):  kk!
ariel (20:02:46 PM):  sounds good to me im gonna get some munchies
moderator (20:03:46 PM):  There are a couple people less in Group B. luke and melany, could you please join Group B.
melany (20:03:53 PM):  ok
luke (20:04:05 PM):  kkkkkk
david (20:04:56 PM):  informal tally who's going to win the gold medal game, canada or U.S.? -basically, somebody said something about food or snacks that wasn't relevant to our assigment, so i'm doing the same thing -
david (20:05:21 PM):  okay , well - maybe we can get started
moderator (20:05:25 PM):  josh, could you please lead today?
moderator (20:05:26 PM):  You simply have to ensure that the discussion stays on track and that you (as a group) reach a consensus at the end.
josh (20:06:44 PM):  ok
moderator (20:06:58 PM):  Great, you may begin now, guys! :-)
cinthia (20:07:28 PM):  ight so who read it already?
josh (20:07:38 PM):  not me lol
cinthia (20:07:45 PM):  i wish i were a kid tryin it out
david (20:08:01 PM):  i read it, its about choosing a different tour of a learning facility, based on the criteria
david (20:08:14 PM):  one of the criteria however, is anything else we think is important
leah (20:09:30 PM):  hello everyone sorry for being late
cinthia (20:09:33 PM):  i personaly like the tour of the world one
david (20:09:54 PM):  i think wildlife and marine are pretty good for that age group - the science would proly have the best impact for job creation, but that's not really a criterion, unless it's the last - plus, a tour of a science museum might be too complex for 5th grade
cinthia (20:10:34 PM):  exactly
david (20:11:01 PM):  well, i'm not sure about exactly - but it's something to look into or consider, those points maybe
cinthia (20:11:49 PM):  lets start with the criterion of which will be easiest to learn
david (20:12:44 PM):  i think art history requires more perspective and more experience, it's tough for 5th graders
david (20:12:48 PM):  would be my guess
ariel (20:12:52 PM):  sorry about that this program closed and i had to restart it :(
josh (20:12:52 PM):  the virtual tour looks like it would be something fun and interesting for the kids so i think we should choose one that 5th graders dont really like to learn about and maybe the virtual tour will cause them to like that type of material more than they would have in a traditional class room
david (20:12:57 PM):  so maybe we can cross that off , sort of
leah (20:12:59 PM):  i think wildlife would be easiest to learn because it would captivate their interest alot
david (20:13:16 PM):  i think wildlife too
ariel (20:13:27 PM):  Yeah
david (20:13:29 PM):  it would really captivate their interest
leah (20:13:34 PM):  definitely
ariel (20:13:38 PM):  but i do have to say that the world tour sounds good to me as well
ariel (20:13:54 PM):  i mean isent the 5th grade the classic age where kids learn all 50 states and capitals?
david (20:14:10 PM):  yeah, but world tour is even better
cinthia (20:14:14 PM):  i agree
ariel (20:14:37 PM):  I mean i'll be honest i missed out on geography as a kid
david (20:14:38 PM):  yeah, thatd be pretty cool - if u want to do a virtual world tour right, it'd proly be cost prohibitive for most places
ariel (20:14:47 PM):  and now im in history class and i have no clue where anything is
leah (20:14:51 PM):  lol
cinthia (20:14:53 PM):  haha ariel
cinthia (20:14:55 PM):  me too
cinthia (20:15:08 PM):  but like especially with the new earthquake they could have it shown
cinthia (20:15:16 PM):  and raise awareness with that age group of how they can help
ariel (20:15:28 PM):  like it was so sad... they gave us an empty map and my group of 5 ppl came up with like 1/6th the countries and they were almost all wrong
leah (20:15:34 PM):  great point
david (20:15:34 PM):  one way to solve that is to look at a map, like google maps for example
josh (20:16:00 PM):  yea that does sound good
leah (20:16:54 PM):  and it gives them views of different important geographical places as well
david (20:17:31 PM):  yeah, the world tour would be good - it is interesting content
cinthia (20:17:42 PM):  generate interest in the countries potential for travel
josh (20:17:56 PM):  ok so which ones would we def not want to do?
ariel (20:17:57 PM):  yeah and i think that real life pictures of each place would also give them something to remember
david (20:18:04 PM):  yeah, showing some places in each area
leah (20:18:11 PM):  mhm
david (20:18:24 PM):  yeah, some real life videos and pictures would help bring to life
cinthia (20:18:35 PM):  not art
leah (20:18:44 PM):  I think a famous historical museum would be boring
ariel (20:19:02 PM):  yeah i agree to both of those
josh (20:19:40 PM):  ok so history and art are out of the question
david (20:19:41 PM):  it wouldnt be boring, but we have to consider its 5th graders - and it might be too dry for them - i mean, it would be too dry for me at points, but mostly i think it would enjoyable
ariel (20:19:58 PM):  you know like i do think that a interactive tour of a famous science museum could be fun
david (20:20:04 PM):  yeah, they're not real relateable for 5th graders, so we should cross those off josh
ariel (20:20:10 PM):  have any of you ever heard of the liberty science center?
cinthia (20:20:15 PM):  no
leah (20:20:19 PM):  no
josh (20:20:23 PM):  yea ive been there
david (20:20:25 PM):  the Boston Children's Science Museum is world class
david (20:20:47 PM):  its really, really good - i dont know the liberty science center though
cinthia (20:20:58 PM):  personally... i have an interactive science center at home near ithaca and it is awesome
david (20:20:59 PM):  wheres liberty
cinthia (20:21:08 PM):  but if we already have them why make more? make something different
