moderator (10:00:54 AM):  Good morning!
julie (10:00:59 AM):  hello
eva (10:01:01 AM):  hello
rebecca (10:01:03 AM):  hi
cinthia (10:01:04 AM):  hello!
caroline (10:01:12 AM):  hi
moderator (10:01:14 AM):  Here is the topic guys. link
moderator (10:02:03 AM):  julie, would you mind being the leader today? You have to ensure the discussion stays on track and that a consensus is reached.
julie (10:02:20 AM):  sure
moderator (10:02:43 AM):  Great, thanks. You may begin whenever you are ready.
julie (10:03:39 AM):  i guess we should discuss one at a time
eva (10:03:57 AM):  discuss each candidate?
julie (10:04:02 AM):  yes sorry
eva (10:04:08 AM):  np thanks :-)
julie (10:04:26 AM):  first officer all alan
caroline (10:04:58 AM):  my wireless seems to be really slow right now, i don't know why, because everything is coming in groups all at once, so if my responses are delayed...that's why
julie (10:05:25 AM):  and whether his characteristics match up with the job description
julie (10:05:37 AM):  ok np
rebecca (10:06:12 AM):  so hes physically and mentally fit
julie (10:06:30 AM):  yes
eva (10:06:43 AM):  hrmmm
eva (10:06:52 AM):  not sure how that's super useful to any of the tasks listed
rebecca (10:07:00 AM):  yea me either
eva (10:07:02 AM):  most of them seem more cerebral than physical
cinthia (10:07:06 AM):  im sorry guys which one are we talking about?
rebecca (10:07:10 AM):  alan
cinthia (10:07:12 AM):  thanks
josh (10:07:14 AM):  yea he should not get the promotion
rebecca (10:07:31 AM):  what would mentally fit even mean though?
josh (10:07:47 AM):  its a good quality to have but it doesnt really fit the criteria we have to choose from
julie (10:07:56 AM):  i agree
jake (10:08:04 AM):  hello
eva (10:08:11 AM):  I think mentally fit refers to a general state of mind
cinthia (10:08:16 AM):  this is more of like a office job id think
eva (10:08:17 AM):  like dementia is not mentally fit
josh (10:08:20 AM):  hes probably calm and can deal with situations easily
rebecca (10:08:26 AM):  so hes sane... thats a plus
caroline (10:08:46 AM):  i wouldn't completely eliminate him because the mental fitness is definitely a plus
julie (10:08:48 AM):  yes
jake (10:09:04 AM):  i vot for either dwight or clark
caroline (10:09:07 AM):  i don't know how you distinguish that from "intelligence and presence of mind" though
rebecca (10:09:13 AM):  yea because this is a lot of coordinating and organizing
cinthia (10:09:17 AM):  i would def vote for clark
julie (10:09:44 AM):  ok well lets agree that alan isnt our manm
julie (10:09:47 AM):  man*
eva (10:10:00 AM):  I vote no Alan
julie (10:10:10 AM):  next is brent
jake (10:10:12 AM):  i think that either clark or dwight would be good because the job description requires a lot of paper work
jake (10:10:20 AM):  and testifying in court
jake (10:10:37 AM):  you ned great communication and written skills for those
jake (10:10:57 AM):  and knowledge of the law - specifically criminal law
cinthia (10:11:03 AM):  ya
julie (10:11:17 AM):  what does everyone think of brent?
cinthia (10:11:17 AM):  i specifically like deeper understanding of the criminal mind with dwight
jake (10:11:29 AM):  yes i agree cinthia
rebecca (10:11:41 AM):  caring and compassionate...not so important for this
caroline (10:11:42 AM):  i think brent is so-so
rebecca (10:11:49 AM):  itd be lsightly helpful
julie (10:11:55 AM):  he is caring and compassionate
eva (10:12:08 AM):  just out of curiosity, if the Albany Police *were* more caring and compassionate, would we trust the police more?
jake (10:12:13 AM):  nope
rebecca (10:12:20 AM):  that makes me think he might be too concerned with making others happy
josh (10:12:45 AM):  but thats what police are for
rebecca (10:12:56 AM):  no i mean his subordinates
julie (10:12:56 AM):  yes agreed, but he could be a good qualit when dealing with alot of people
jake (10:12:57 AM):  police are not there to make others happy
josh (10:13:05 AM):  they are public servants
josh (10:13:14 AM):  to help the public
jake (10:13:16 AM):  that dont mean they have the publics interest at heart
jake (10:13:27 AM):  true there are those who like what they do
caroline (10:13:46 AM):  i think i would trust them more if they were caring and compassionate
josh (10:13:46 AM):  yea it matters about who the officer is
josh (10:14:37 AM):  but i also think that brent is not qualified for a promotion just because of his qualities
julie (10:14:40 AM):  so are there any votes for brent?
josh (10:14:44 AM):  no
rebecca (10:14:46 AM):  no
jake (10:14:46 AM):  no
cinthia (10:14:48 AM):  true josh
caroline (10:14:51 AM):  i agree with josh...no
julie (10:14:56 AM):  ok no brent!
julie (10:15:03 AM):  clark?
julie (10:15:11 AM):  why is he a good candidate
rebecca (10:15:26 AM):  Intelligence and Presence of Mind
julie (10:15:38 AM):  i think those are good qualities
eva (10:15:46 AM):  his advantages seem useful for most of the tasks
eva (10:15:50 AM):  I wonder about the last task though
rebecca (10:15:51 AM):  yea i agree
julie (10:15:53 AM):  especially intelligence
cinthia (10:15:54 AM):  thats good for everything ddescribed
eva (10:16:11 AM):  and we don't have any information on *anyone's* managerial skills
caroline (10:16:19 AM):  i think his qualities are probably the most valuable for this posiion
jake (10:16:20 AM):  between dwight and clarkm i vote for
jake (10:16:27 AM):  dwight
rebecca (10:16:44 AM):  i agree with caroline
rebecca (10:17:28 AM):  this position is more than just dealing with criminals though
julie (10:17:40 AM):  yes agreed
rebecca (10:17:43 AM):  theres also a lot of managing subordinates
caroline (10:18:02 AM):  yea there is a lot of managing period
cinthia (10:18:08 AM):  has anyone seen CSI
julie (10:18:13 AM):  presence of mind, seems very important
julie (10:18:21 AM):  especially dealing with police work
cinthia (10:18:22 AM):  im like picturing this job as Grissum or the other dude
josh (10:18:30 AM):  yea clark is my choice
cinthia (10:18:35 AM):  who would best fit that character
jake (10:18:57 AM):  i think being able to understand how the criminal mind works is more important
jake (10:19:07 AM):  you need that intellginece to write reports
jake (10:19:13 AM):  and to testify in courts and investigate
