ariel (09:59:40 AM):  god its early
moderator (10:01:55 AM):  Good morning!
lynn (10:02:02 AM):  hi
luke (10:02:04 AM):  hello
melany (10:02:06 AM):  hi good morning
ted (10:02:13 AM):  good morning
moderator (10:02:23 AM):  We are ready to begin. melany, would you mind leading today? You have to ensure that the discussion stays on track and that a consensus is reached.
moderator (10:02:30 AM):  link
melany (10:02:39 AM):  Sure
moderator (10:02:55 AM):  Great, thanks! You guys may begin whenever you're ready.
melany (10:03:06 AM):  Ok so would everyone want to go through each candidate individually and see if they would be a good choice for the RA position?
luke (10:03:13 AM):  suree
melany (10:03:25 AM):  Ok, We'll start with Penny.
melany (10:03:30 AM):  What did everyone think of her?
lynn (10:04:31 AM):  she was alright. she is not a native new yorker, so she may not be as familiar with the area as some other native ny residents
melany (10:04:41 AM):  that's a good point
melany (10:05:03 AM):  she seems to be responsible with pet sitting and child care experience
lynn (10:06:10 AM):  yes
melany (10:07:08 AM):  also big brothers and big sisters shows she works well with others
lynn (10:07:10 AM):  she did not put that she specifically wanted an ra position, not that that's a big deal, but the others did
melany (10:07:21 AM):  oh i didnt notice that
melany (10:07:25 AM):  thats very important
melany (10:07:50 AM):  she seems like a so-so candidate
luke (10:07:53 AM):  yeaa i suppose so
melany (10:07:56 AM):  a smart responsible girl
ariel (10:08:03 AM):  whats with this?:B.A in Psychology (3.7/4.0)- expected 2012
melany (10:08:05 AM):  might not be that great at the job thoigh
ariel (10:08:06 AM):  expected?
melany (10:08:20 AM):  i guess she expects to graduate in 2010
melany (10:08:23 AM):  2012**
judith (10:08:25 AM):  sorry! my computer froze for like 10 minutes so im late
ariel (10:08:26 AM):  no i mean
melany (10:08:33 AM):  thats ok
judith (10:08:35 AM):  im going to read what you guys have said so far lol
ariel (10:08:39 AM):  kk
luke (10:08:51 AM):  well they always say expected when putting it down
ariel (10:09:03 AM):  ok
ariel (10:09:08 AM):  i dun know ive never done that
melany (10:09:10 AM):  yeah cuz they may graduate early
melany (10:09:15 AM):  i dont have that on mine
ariel (10:09:22 AM):  neither do i
melany (10:09:23 AM):  but some people structure their's that way
ariel (10:09:36 AM):  well she does have a good gpa at least
lynn (10:09:51 AM):  what about jade?
melany (10:09:56 AM):  yeah lets talk about jade
melany (10:10:19 AM):  she's a native new yorker and stated her objective
melany (10:10:22 AM):  both positives
judith (10:10:34 AM):  i like that she has leadership teamwork abilities
ariel (10:10:38 AM):  she has some interesting skills lol
lynn (10:10:50 AM):  she doesn't have a lot of job experience
judith (10:10:54 AM):  i feel that that is a big part of being an RA is getting people to cooperate and coopating with others
judith (10:11:00 AM):  yea, her soldering experience is interesting lol
melany (10:11:07 AM):  yeah i wonder why she didnt state specific experiences related to those abilities though
luke (10:11:34 AM):  She seems like an alright candidate but nothing sticks out really
ted (10:11:54 AM):  she seems a hard worker
melany (10:11:56 AM):  i mean she can obviously handle alot being the owner of a lawn care service
melany (10:11:59 AM):  thats interesting
melany (10:12:03 AM):  she seems better than Penny
ted (10:12:09 AM):  i agree
ariel (10:12:09 AM):  being good door to door means being good wit ppl
luke (10:12:40 AM):  true
judith (10:12:44 AM):  and shes obvioulsy worked in a lot of group situations such as volleyball team and dram aclub
melany (10:12:44 AM):  she's fluent in german
melany (10:12:52 AM):  that could come in handy with international students haha
ariel (10:13:05 AM):  she said 100% customer return for the next year
ariel (10:13:13 AM):  i dont know i find that a bit hard to believe
lynn (10:13:35 AM):  she seems more like a business person than an ra to me
melany (10:13:40 AM):  yeah maybe she only has a few customers
melany (10:13:41 AM):  ahaha
melany (10:13:43 AM):  yeah
luke (10:13:48 AM):  lol that could be true as well
melany (10:14:23 AM):  she seems business-esque
ted (10:14:28 AM):  but that is why she wants to be an RA
ted (10:14:45 AM):  it pays for her room and board
lynn (10:14:47 AM):  yes, but she seems more self-interestesd than in helping others
judith (10:14:49 AM):  thats true
melany (10:14:51 AM):  yeah she seems very interested in artistic stuff
ariel (10:14:56 AM):  business-esque is horrible its like pick a side and stick to it
judith (10:15:25 AM):  yea but being creative could be a good thing
melany (10:15:53 AM):  oh yeah definetly
lynn (10:16:01 AM):  are we talking about jade?
melany (10:16:02 AM):  i just dont see much interest in human services
melany (10:16:04 AM):  yeah
melany (10:16:12 AM):  or whatever being an RA is related too
ariel (10:16:14 AM):  i feel like if she is too wishy washy then thats a bad thing she is also going to have to stand her ground as an ra
melany (10:16:15 AM):  to(
judith (10:17:15 AM):  i dunno, i like her leadershership and teamwork
judith (10:17:28 AM):  she attended a youth leadership confered
melany (10:17:43 AM):  thats good
melany (10:17:51 AM):  leadership is the most important quality in an RA
melany (10:17:52 AM):  i think
luke (10:18:09 AM):  yeaaa it has a lot to do with it
ariel (10:18:14 AM):  yeah but i dislike the fact that she tries to present herself as business like but really doesnt pull through
lynn (10:18:18 AM):  leadership is good, but only if you are a good communicator
judith (10:18:33 AM):  thats true
ariel (10:18:38 AM):  i get a bad feeling about stuff like that
lynn (10:18:50 AM):  she is very scientific in her academic background, and she is a good business leader, but she doesn't seem to be interested in helping others
ariel (10:18:53 AM):  like the person could be two faced, or doesnt really have their heart in the matter
lynn (10:18:54 AM):  as much as the others
lynn (10:20:09 AM):  what about the next one?
melany (10:20:41 AM):  yes let's move on to ryan
melany (10:21:02 AM):  he only wants to be an RA at empire
luke (10:21:31 AM):  the only thing i see for him is the scholarship that looks pretty good
ariel (10:21:40 AM):  i like him
melany (10:21:57 AM):  what do you like about him ariel?
ted (10:22:08 AM):  being a life guard brings good experience in case of emergency
ariel (10:22:13 AM):  he seems well rounded
lynn (10:22:21 AM):  more so than jade, in my opinion
ariel (10:22:34 AM):  and you have to be good with people if your into newspapers and stuff
