meg (20:01:24 PM):  Hi everyone:)
luke (20:01:28 PM):  hellooo
melany (20:01:31 PM):  hi :)
lynn (20:01:32 PM):  hi
meg (20:02:01 PM):  so what's your guys' choice for best city in Europe?
moderator (20:02:16 PM):  Great, so I see you guys have started already.
melany (20:02:25 PM):  i want to go to europe so badly, i'm mad i've never been :(
meg (20:02:29 PM):  Me neither!
moderator (20:02:32 PM):  You may continue. Just want to check if there's a leader.
melany (20:02:38 PM):  i'm looking forward to what others say about it
luke (20:02:39 PM):  haha me neither.....
moderator (20:02:42 PM):  lynn, would you mind being the leader today?
lynn (20:02:54 PM):  sure
moderator (20:03:01 PM):  Ok great, continue then!
meg (20:03:07 PM):  I have always wanted to go to Paris
melany (20:03:09 PM):  me too
meg (20:03:10 PM):  That's my top choice
melany (20:03:19 PM):  i want to be proposed to there (if that ever happens)
meg (20:03:19 PM):  I've been to London before but never Paris
melany (20:03:20 PM):  haha
lynn (20:03:26 PM):  paris is nice, but hard to get around if you don't speak french sometimes
meg (20:03:27 PM):  That would be lovely
melany (20:03:30 PM):  what was london like? ive been dying to go there
luke (20:03:34 PM):  how many of us have actually been to europe?
lynn (20:03:35 PM):  me too, melany
meg (20:03:35 PM):  Je parle le francais
meg (20:03:37 PM):  lol
meg (20:03:43 PM):  I've only been to the UK
meg (20:03:46 PM):  London was awesome
meg (20:03:53 PM):  I haven't been there since I was 10 though
lynn (20:03:53 PM):  london was really nice, too
meg (20:03:59 PM):  I have family there
melany (20:04:06 PM):  how was the weather in London?
meg (20:04:18 PM):  Honestly, kind of miserable
meg (20:04:21 PM):  hahaha
meg (20:04:27 PM):  It was cold and rainy in the middle of the summer
lynn (20:04:29 PM):  so for it seems paris and london are the top choices
meg (20:04:34 PM):  But the attractions are really cool
lynn (20:04:44 PM):  how about we choose some criteria for deciding, how does that sound to everyone?
melany (20:04:45 PM):  Thats what I have heard but people still say they loved it
meg (20:04:55 PM):  Like Harrods - this massive department store that is insanely cool!
meg (20:05:02 PM):  And the Tower of London
meg (20:05:11 PM):  You get to see where people were held and beheaded
meg (20:05:26 PM):  I was only there for 2 days so we did like the speedy sight seeing
meg (20:05:33 PM):  I'd stay longer if I was going back
melany (20:05:48 PM):  thats a good idea lynn
meg (20:06:08 PM):  The coolest thing that happened though- we were on one of those double decker bus tours and we saw Prince William!
lynn (20:06:10 PM):  price, weather, attractions, what are some other criteria
meg (20:06:13 PM):  Yeah, I agree lynn
luke (20:06:34 PM):  maybe the travel time>
lynn (20:06:39 PM):  language, i suppose, is importnat too
lynn (20:06:42 PM):  yes, i agree luke
meg (20:06:45 PM):  Yeah
lynn (20:06:46 PM):  to get there?
luke (20:06:57 PM):  i would think a big one would be exchange rates
meg (20:06:58 PM):  It takes 6 and 1/2 hours to get to the UK
luke (20:07:17 PM):  actually nevermind lol
luke (20:07:19 PM):  thats a bad one
